alunoid,campus,curso,anoingresso,periodoingresso,dataconclusao,forma_acesso_seletivo,rendabruta,ira,modalidade,genero,raca,idade,ficou_tempo_sem_estudar,razao_ausencia_educacional,quantidade_computadores,exclusivo_rede_publica,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,situacao,pontuacao_seletivo,percentual_frequencia,reprovacoes,idioma
116721,CAX,Caxias - Licenciatura em Formação Pedagógica para Graduados não Licenciados,2018,2,,CON,2900.0,9.57,Licenciatura,F,PARDA,27,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Casado(a),0,Rural,Empresa privada,Matriculado,,100,0,False
114655,BTC,Buriticupu - Licenciatura em Biologia Enem - Noturno,2019,2,,CON,260.0,7.76,Licenciatura,F,Parda,28,False,,0.0,False,Sozinho,Ensino fundamental incompleto,Ensino fundamental incompleto,0.0,Solteiro(a),1,Rural,Autônomo,Trancado Voluntariamente,,99,0,False
152031,MTC,Licenciatura em Química,2022,1,,COT,500.0,0.0,Licenciatura,F,Parda,20,False,,0.0,False,Sozinho,Ensino fundamental completo,Ensino fundamental completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,89,0,False
97461,COD,Licenciatura em Matemática,2018,1,,COT,2080.0,7.98,Licenciatura,M,Parda,24,False,,0.0,False,Parentes,Ensino fundamental incompleto,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,98,1,False
98719,ITZ,Bacharelado em Engenharia Elétrica  Imperatriz,2018,1,,CON,0.0,6.01,Bacharelado,F,Parda,23,False,,0.0,False,Parentes,Ensino médio completo,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,95,0,False
97330,COD,Licenciatura em Ciências Biológicas,2018,1,,COT,300.0,3.82,Licenciatura,F,Preta,22,False,,0.0,False,Outro,Não Estudou,Não Estudou,0.0,Solteiro(a),1,Urbano,Autônomo,Trancada,,78,20,False
139632,SJP,Bacharelado em Administração,2021,1,,COT,2200.0,8.52,Bacharelado,F,Parda,19,False,,1.0,False,Mãe,Ensino fundamental completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,98,0,True
102375,ITZ,Bacharelado em Engenharia Elétrica  Imperatriz,2018,2,,CON,5247.0,7.96,Bacharelado,F,Preta,25,False,,0.0,False,Mãe,Pós-gradução completa,Ensino superior completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,94,2,True
155029,CCH,Licenciatura em Artes Visuais,2022,1,,CON,1000.0,0.0,Licenciatura,F,Branca,19,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,100,0,False
98343,ACA,Licenciatura em Química,2018,1,,CON,0.0,8.76,Licenciatura,F,Branca,24,False,,1.0,False,Mãe,Ensino médio incompleto,Não sei informar,1.0,Solteiro(a),0,Urbano,Serviço público,Matriculado,,97,2,True
